form,block,item,code_unit,type,pu_type,codeId,numLines,parseStatus
XSIM2,BLK5_TSI_ITM,,WHEN-NEW-RECORD-INSTANCE,TRIGGER,,482,7,true
XSIM2,BLK5_TSI_ITM,,PRE-INSERT,TRIGGER,,483,184,true
XSIM2,BLK5_TSI_ITM,,KEY-DOWN,TRIGGER,,480,2,true
XSIM2,BLK5_TSI_ITM,,KEY-UP,TRIGGER,,481,2,true
XSIM2,BLK5_TSI_ITM,,PRE-UPDATE,TRIGGER,,484,174,true
XSIM2,BLK5_TSI_ITM,,POST-QUERY,TRIGGER,,485,13,true
XSIM2,BLK5_TSI_ITM,,PRE-BLOCK,TRIGGER,,479,3,true
XSIM2,BLK6_UPDLST,,PRE-BLOCK,TRIGGER,,532,5,true
XSIM2,BLK6_UPDLST,,POST-QUERY,TRIGGER,,533,10,true
XSIM2,REMARK_BLK,,PRE-BLOCK,TRIGGER,,618,4,true
XSIM2,ITMRMK_BLK,,PRE-BLOCK,TRIGGER,,629,3,true
XSIM2,PRINT_BLK,,PRE-BLOCK,TRIGGER,,649,2,true
XSIM2,INFO_BLK,INFO_DIV,WHEN-MOUSE-CLICK,TRIGGER,,577,7,true
XSIM2,SAM_BLK,SAM_CANCEL,WHEN-BUTTON-PRESSED,TRIGGER,,21,3,true
XSIM2,SAM_BLK,SAM_RESET,WHEN-BUTTON-PRESSED,TRIGGER,,19,4,true
XSIM2,SAM_BLK,SAM_OK,WHEN-BUTTON-PRESSED,TRIGGER,,17,83,true
XSIM2,SAM_BLK,SAM_LOV_OPDP,WHEN-BUTTON-PRESSED,TRIGGER,,14,24,true
XSIM2,BLK1_TSI_MST,BLK1_CHK,WHEN-CHECKBOX-CHANGED,TRIGGER,,48,8,true
XSIM2,BLK1_CONTROL,BT_DEFAULT_BUTTON,WHEN-BUTTON-PRESSED,TRIGGER,,100,15,true
XSIM2,BLK1_CONTROL,BT_BLK1_SHIP_MODE,WHEN-BUTTON-PRESSED,TRIGGER,,97,10,true
XSIM2,BLK1_CONTROL,BT_BLK1_DEPT_CODE,WHEN-BUTTON-PRESSED,TRIGGER,,89,10,true
XSIM2,BLK1_CONTROL,BT_BLK1_CUSTOMER,WHEN-BUTTON-PRESSED,TRIGGER,,87,10,true
XSIM2,BLK1_CONTROL,BT_BLK1_YEAR,WHEN-BUTTON-PRESSED,TRIGGER,,85,10,true
XSIM2,BLK1_CONTROL,BT_BLK1_PORT_D,WHEN-BUTTON-PRESSED,TRIGGER,,95,10,true
XSIM2,BLK1_CONTROL,BT_BLK1_SHPDAT,WHEN-BUTTON-PRESSED,TRIGGER,,93,10,true
XSIM2,BLK1_CONTROL,BT_BLK1_INVDAT,WHEN-BUTTON-PRESSED,TRIGGER,,91,10,true
XSIM2,BLK1_CONTROL,BLK1_MASSUPD,WHEN-BUTTON-PRESSED,TRIGGER,,79,30,true
XSIM2,BLK1_CONTROL,BLK1_PRINT,WHEN-BUTTON-PRESSED,TRIGGER,,77,21,true
XSIM2,BLK1_CONTROL,BLK1_DELETE,WHEN-BUTTON-PRESSED,TRIGGER,,75,22,true
XSIM2,BLK1_CONTROL,BT_BLK1_DOC_NO,WHEN-BUTTON-PRESSED,TRIGGER,,83,10,true
XSIM2,BLK1_CONTROL,BLK1_EXIT,WHEN-BUTTON-PRESSED,TRIGGER,,81,5,true
XSIM2,BLK1_CONTROL,BLK1_REFRESH,WHEN-BUTTON-PRESSED,TRIGGER,,69,18,true
XSIM2,BLK1_CONTROL,BLK1_FIND,WHEN-BUTTON-PRESSED,TRIGGER,,71,5,true
XSIM2,BLK1_CONTROL,BLK1_COPY,WHEN-BUTTON-PRESSED,TRIGGER,,73,160,true
XSIM2,BLK1_CONTROL,BLK1_INSERT,WHEN-BUTTON-PRESSED,TRIGGER,,65,13,true
XSIM2,BLK1_CONTROL,BLK1_EDIT,WHEN-BUTTON-PRESSED,TRIGGER,,67,77,true
XSIM2,BLK2_CRITERIA,EXCEL,WHEN-BUTTON-PRESSED,TRIGGER,,154,4,true
XSIM2,BLK2_CRITERIA,BLK2_OK,WHEN-BUTTON-PRESSED,TRIGGER,,148,26,true
XSIM2,BLK2_CRITERIA,BLK2_RESET,WHEN-BUTTON-PRESSED,TRIGGER,,150,5,true
XSIM2,BLK2_CRITERIA,BLK2_CANCEL,WHEN-BUTTON-PRESSED,TRIGGER,,152,2,true
XSIM2,BLK2_CRITERIA,BLK2_LOV_PORT_D,WHEN-BUTTON-PRESSED,TRIGGER,,135,27,true
XSIM2,BLK2_CRITERIA,MPSM_DES,POST-TEXT-ITEM,TRIGGER,,137,10,true
XSIM2,BLK2_CRITERIA,BLK3_LOV_SIMS_SHPMODCOD,WHEN-BUTTON-PRESSED,TRIGGER,,139,20,true
XSIM2,BLK2_CRITERIA,ACTIVE,WHEN-VALIDATE-ITEM,TRIGGER,,143,23,true
XSIM2,BLK2_CRITERIA,SELECT_SHP_DAT_FR,PRE-TEXT-ITEM,TRIGGER,,125,0,true
XSIM2,BLK2_CRITERIA,SELECT_SHP_DAT_FR,POST-TEXT-ITEM,TRIGGER,,127,2,true
XSIM2,BLK2_CRITERIA,SELECT_SHP_DAT_FR,WHEN-VALIDATE-ITEM,TRIGGER,,126,7,true
XSIM2,BLK2_CRITERIA,SELECT_SHP_DAT_TO,WHEN-VALIDATE-ITEM,TRIGGER,,130,7,true
XSIM2,BLK2_CRITERIA,SELECT_SHP_DAT_TO,PRE-TEXT-ITEM,TRIGGER,,129,0,true
XSIM2,BLK2_CRITERIA,SELECT_SHP_DAT_TO,POST-TEXT-ITEM,TRIGGER,,131,2,true
XSIM2,BLK2_CRITERIA,MPCP_NAM_D,POST-TEXT-ITEM,TRIGGER,,133,8,true
XSIM2,BLK2_CRITERIA,SELECT_INV_DAT_FR,WHEN-VALIDATE-ITEM,TRIGGER,,118,7,true
XSIM2,BLK2_CRITERIA,SELECT_INV_DAT_FR,PRE-TEXT-ITEM,TRIGGER,,117,0,true
XSIM2,BLK2_CRITERIA,SELECT_INV_DAT_FR,POST-TEXT-ITEM,TRIGGER,,119,2,true
XSIM2,BLK2_CRITERIA,BLK2_LOV_SIMS_DPTCOD,WHEN-BUTTON-PRESSED,TRIGGER,,115,24,true
XSIM2,BLK2_CRITERIA,SELECT_INV_DAT_TO,POST-TEXT-ITEM,TRIGGER,,123,2,true
XSIM2,BLK2_CRITERIA,SELECT_INV_DAT_TO,PRE-TEXT-ITEM,TRIGGER,,121,0,true
XSIM2,BLK2_CRITERIA,SELECT_INV_DAT_TO,WHEN-VALIDATE-ITEM,TRIGGER,,122,7,true
XSIM2,BLK2_CRITERIA,BLK2_LOV_SIMS_INVNO,WHEN-BUTTON-PRESSED,TRIGGER,,108,18,true
XSIM2,BLK2_CRITERIA,BLK2_LOV_SIMS_CUSCOD,WHEN-BUTTON-PRESSED,TRIGGER,,112,18,true
XSIM2,BLK2_CRITERIA,BLK2_LOV_SIMS_DIVCOD,WHEN-BUTTON-PRESSED,TRIGGER,,105,29,true
XSIM2,BLK3_TSI_MST,SIMS_DPTCOD,POST-TEXT-ITEM,TRIGGER,,270,6,true
XSIM2,BLK3_TSI_MST,SIMS_DPTCOD,WHEN-MOUSE-CLICK,TRIGGER,,271,8,true
XSIM2,BLK3_TSI_MST,BLK3_LOV_DPTCOD,WHEN-BUTTON-PRESSED,TRIGGER,,273,20,true
XSIM2,BLK3_TSI_MST,OPDP_NAM,WHEN-MOUSE-CLICK,TRIGGER,,275,8,true
XSIM2,BLK3_TSI_MST,SIMS_INVNO,WHEN-MOUSE-CLICK,TRIGGER,,251,8,true
XSIM2,BLK3_TSI_MST,SIMS_SAMSND,WHEN-CHECKBOX-CHANGED,TRIGGER,,258,8,true
XSIM2,BLK3_TSI_MST,SIMS_SNDDAT,POST-TEXT-ITEM,TRIGGER,,262,8,true
XSIM2,BLK3_TSI_MST,SIMS_SNDDAT,POST-CHANGE,TRIGGER,,261,0,true
XSIM2,BLK3_TSI_MST,SIMS_SNDDAT,PRE-TEXT-ITEM,TRIGGER,,260,0,true
XSIM2,BLK3_TSI_MST,SIMS_INVDAT,POST-CHANGE,TRIGGER,,168,0,true
XSIM2,BLK3_TSI_MST,SIMS_INVDAT,POST-TEXT-ITEM,TRIGGER,,166,0,true
XSIM2,BLK3_TSI_MST,SIMS_INVDAT,PRE-TEXT-ITEM,TRIGGER,,167,0,true
XSIM2,BLK3_TSI_MST,SIMS_CUSCOD,POST-TEXT-ITEM,TRIGGER,,170,19,true
XSIM2,BLK3_TSI_MST,SIMS_CUSCOD,POST-CHANGE,TRIGGER,,171,6,true
XSIM2,BLK3_TSI_MST,BLK3_LOV_CUSCOD,WHEN-BUTTON-PRESSED,TRIGGER,,173,40,true
XSIM2,BLK3_TSI_MST,SIMS_CHRTYP,POST-TEXT-ITEM,TRIGGER,,161,6,true
XSIM2,BLK3_TSI_MST,SIMS_YEAR,POST-TEXT-ITEM,TRIGGER,,159,13,true
XSIM2,BLK3_TSI_MST,LOV_CHRTYP,WHEN-BUTTON-PRESSED,TRIGGER,,163,20,true
XSIM2,BLK3_TSI_MST,SIMS_SERNUM,POST-TEXT-ITEM,TRIGGER,,185,13,true
XSIM2,BLK3_TSI_MST,SIMS_PORT_L,POST-TEXT-ITEM,TRIGGER,,189,6,true
XSIM2,BLK3_TSI_MST,BLK3_LOV_PORT_L,WHEN-BUTTON-PRESSED,TRIGGER,,191,20,true
XSIM2,BLK3_TSI_MST,SIMS_SHPDAT,POST-CHANGE,TRIGGER,,178,0,true
XSIM2,BLK3_TSI_MST,SIMS_SHPDAT,PRE-TEXT-ITEM,TRIGGER,,177,0,true
